date,cash,positions_value,total_value,num_positions,daily_return,peak,drawdown,month,year
2023-03-24,100000000.0,0.0,100000000.0,0,,100000000.0,0.0,2023-03,2023
2023-03-27,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-03,2023
2023-03-28,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-03,2023
2023-03-29,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-03,2023
2023-03-30,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-03,2023
2023-03-31,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-03,2023
2023-04-03,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-04,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-05,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-06,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-07,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-10,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-11,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-12,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-13,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-14,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-17,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-18,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-19,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-20,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-21,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-24,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-25,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-26,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-27,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-04-28,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-04,2023
2023-05-01,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-02,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-03,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-04,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-05,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-08,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-09,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-10,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-11,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-12,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-15,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-16,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-17,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-18,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-19,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-22,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-23,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-24,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-25,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-26,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-29,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-30,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-05-31,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-05,2023
2023-06-01,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-02,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-05,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-06,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-07,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-08,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-09,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-12,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-13,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-14,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-15,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-16,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-19,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-20,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-21,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-22,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-23,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-26,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-27,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-28,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-29,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-06-30,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-06,2023
2023-07-03,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-04,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-05,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-06,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-07,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-10,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-11,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-12,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-13,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-14,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-17,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-18,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-19,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-20,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-21,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-24,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-25,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-26,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-27,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-28,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-07-31,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-07,2023
2023-08-01,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-02,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-03,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-04,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-07,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-08,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-09,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-10,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-11,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-14,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-15,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-16,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-17,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-18,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-21,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-22,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-23,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-24,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-25,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-28,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-29,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-30,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-08-31,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-08,2023
2023-09-01,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-04,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-05,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-06,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-07,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-08,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-11,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-12,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-13,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-14,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-15,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-18,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-19,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-20,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-21,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-22,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-25,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-26,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-27,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-28,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-09-29,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-09,2023
2023-10-02,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-03,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-04,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-05,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-06,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-09,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-10,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-11,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-12,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-13,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-16,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-17,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-18,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-19,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-20,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-23,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-24,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-25,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-26,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-27,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-30,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-10-31,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-10,2023
2023-11-01,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-02,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-03,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-06,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-07,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-08,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-09,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-10,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-13,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-14,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-15,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-16,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-17,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-20,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-21,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-22,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-23,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-24,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-27,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-28,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-29,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-11-30,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-11,2023
2023-12-01,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-12,2023
2023-12-04,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-12,2023
2023-12-05,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-12,2023
2023-12-06,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-12,2023
2023-12-07,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-12,2023
2023-12-08,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-12,2023
2023-12-11,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-12,2023
2023-12-12,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-12,2023
2023-12-13,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-12,2023
2023-12-14,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-12,2023
2023-12-15,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-12,2023
2023-12-18,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-12,2023
2023-12-19,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-12,2023
2023-12-20,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-12,2023
2023-12-21,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-12,2023
2023-12-22,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-12,2023
2023-12-25,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-12,2023
2023-12-26,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-12,2023
2023-12-27,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-12,2023
2023-12-28,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-12,2023
2023-12-29,100000000.0,0.0,100000000.0,0,0.0,100000000.0,0.0,2023-12,2023
2024-01-01,97966218.901,2032460.0,99998678.901,1,-1.3210990000067646e-05,100000000.0,-0.0013210990000069142,2024-01,2024
2024-01-02,97966218.901,2020610.0,99986828.901,1,-0.00011850156552295488,100000000.0,-0.013171099000006915,2024-01,2024
2024-01-03,97966218.901,1991920.0,99958138.901,1,-0.00028693779286081966,100000000.0,-0.04186109900000692,2024-01,2024
2024-01-04,97966218.901,1996760.0,99962978.901,1,4.8420269256777004e-05,100000000.0,-0.03702109900000692,2024-01,2024
2024-01-05,97966218.901,2009890.0,99976108.901,1,0.00013134862670516334,100000000.0,-0.023891099000006914,2024-01,2024
2024-01-08,97966218.901,2002260.0,99968478.901,1,-7.6318233264705e-05,100000000.0,-0.031521099000006915,2024-01,2024
2024-01-09,97966218.901,1977270.0,99943488.901,1,-0.00024997879606381,100000000.0,-0.05651109900000692,2024-01,2024
2024-01-10,97966218.901,2002990.0,99969208.901,1,0.00025734542873001587,100000000.0,-0.030791099000006913,2024-01,2024
2024-01-11,95956935.7153,4041018.0,99997953.7153,2,0.00028753667870340394,100000000.0,-0.0020462847000062468,2024-01,2024
2024-01-12,95956935.7153,4014156.0,99971091.7153,2,-0.0002686254968424784,100000000.0,-0.028908284700006243,2024-01,2024
2024-01-15,95956935.7153,4056530.0,100013465.7153,2,0.0004238625313872646,100013465.7153,0.0,2024-01,2024
2024-01-16,95956935.7153,4024378.0,99981313.7153,2,-0.000321476710861357,100013465.7153,-0.03214767108613596,2024-01,2024
2024-01-17,95956935.7153,4097756.0,100054691.7153,2,0.0007339171418465629,100054691.7153,0.0,2024-01,2024
2024-01-18,95956935.7153,4145514.0,100102449.7153,2,0.00047731894608094017,100102449.7153,0.0,2024-01,2024
2024-01-19,95956935.7153,4190104.0,100147039.7153,2,0.00044544364425469496,100147039.7153,0.0,2024-01,2024
2024-01-22,95956935.7153,4206840.0,100163775.7153,2,0.00016711427564497505,100163775.7153,0.0,2024-01,2024
2024-01-23,95956935.7153,4207126.0,100164061.7153,2,2.8553236732786758e-06,100164061.7153,0.0,2024-01,2024
2024-01-24,95956935.7153,4222412.0,100179347.7153,2,0.00015260962602980932,100179347.7153,0.0,2024-01,2024
2024-01-25,95956935.7153,4237638.0,100194573.7153,2,0.00015198741404542915,100194573.7153,0.0,2024-01,2024
2024-01-26,95956935.7153,4164908.0,100121843.7153,2,-0.0007258876135014525,100194573.7153,-0.07258876135015077,2024-01,2024
2024-01-29,95956935.7153,4199092.0,100156027.7153,2,0.00034142399631797993,100194573.7153,-0.03847114526334265,2024-01,2024
2024-01-30,95956935.7153,4173438.0,100130373.7153,2,-0.00025614035006382707,100194573.7153,-0.06407532625711095,2024-01,2024
2024-01-31,95956935.7153,4127530.0,100084465.7153,2,-0.0004584822596440663,100194573.7153,-0.10989417482115223,2024-01,2024
2024-02-01,95956935.7153,4094586.0,100051521.7153,2,-0.0003291619709867577,100194573.7153,-0.14277419893663917,2024-02,2024
2024-02-02,95956935.7153,4110840.0,100067775.7153,2,0.00016245629972777564,100194573.7153,-0.12655176353191827,2024-02,2024
2024-02-05,95956935.7153,4187066.0,100144001.7153,2,0.00076174372274318,100194573.7153,-0.050473791269075,2024-02,2024
2024-02-06,95956935.7153,4122248.0,100079183.7153,2,-0.0006472479518471186,100194573.7153,-0.11516591739576373,2024-02,2024
2024-02-07,95956935.7153,4247128.0,100204063.7153,2,0.0012478119361489792,100204063.7153,0.0,2024-02,2024
2024-02-08,95956935.7153,4278742.0,100235677.7153,2,0.000315496186759745,100235677.7153,0.0,2024-02,2024
2024-02-09,95956935.7153,4244876.0,100201811.7153,2,-0.00033786373047917095,100235677.7153,-0.033786373047917935,2024-02,2024
2024-02-12,95956935.7153,4230264.0,100187199.7153,2,-0.00014582570664012362,100235677.7153,-0.048364016790201546,2024-02,2024
2024-02-13,95956935.7153,4347096.0,100304031.7153,2,0.0011661369948656741,100304031.7153,0.0,2024-02,2024
2024-02-14,95956935.7153,4282076.0,100239011.7153,2,-0.0006482291777119009,100304031.7153,-0.06482291777119274,2024-02,2024
2024-02-15,94125409.99689999,6233608.0,100359017.99689999,3,0.0011972013644832025,100359017.99689999,0.0,2024-02,2024
2024-02-16,94125409.99689999,6081460.0,100206869.99689999,3,-0.001516037153778238,100359017.99689999,-0.15160371537782455,2024-02,2024
2024-02-19,94125409.99689999,6109124.0,100234533.99689999,3,0.0002760688962828439,100359017.99689999,-0.12403867881991952,2024-02,2024
2024-02-20,94125409.99689999,6090516.0,100215925.99689999,3,-0.0001856446002989065,100359017.99689999,-0.1425801117388574,2024-02,2024
2024-02-21,92182712.06349999,8029564.0,100212276.06349999,4,-3.642069225717748e-05,100359017.99689999,-0.1462169880982074,2024-02,2024
2024-02-22,92182712.06349999,8165938.0,100348650.06349999,4,0.0013608512385607785,100359017.99689999,-0.010330843811490223,2024-02,2024
2024-02-23,92182712.06349999,8133978.0,100316690.06349999,4,-0.00031848958585667386,100359017.99689999,-0.04217651213099014,2024-02,2024
2024-02-26,92182712.06349999,8099352.0,100282064.06349999,4,-0.00034516689075447804,100359017.99689999,-0.07667864327088388,2024-02,2024
2024-02-27,92182712.06349999,8091720.0,100274432.06349999,4,-7.610533420177035e-05,100359017.99689999,-0.08428334103729263,2024-02,2024
2024-02-28,92182712.06349999,8086518.0,100269230.06349999,4,-5.187763114633537e-05,100359017.99689999,-0.08946673173184953,2024-02,2024
2024-02-29,92182712.06349999,8146134.0,100328846.06349999,4,0.0005945592677059075,100359017.99689999,-0.030063998235751063,2024-02,2024
2024-03-01,92182712.06349999,8144436.0,100327148.06349999,4,-1.692434495781381e-05,100359017.99689999,-0.031755923918057406,2024-03,2024
2024-03-04,92182712.06349999,8178652.0,100361364.06349999,4,0.00034104428024162026,100361364.06349999,0.0,2024-03,2024
